Plot Trial Repetition,Weed Count,Weed Diameter,Size,Size (inchÂ²),Weed Type,Weed Placement,Weed Name,Weed Applied,DATA Detection,Control (%) ,DATA Control
101,1,,20,,,ROW,CP,1,OK,100%,OK
101,1,,20,,,ROW,CP,1,OK,100%,OK
101,2,,9,,,FURROW,CP,1,OK,100%,OK
101,3,,25,,,ROW,CORN,1,OK,50%,OK
101,4,,20,,,FURROW,CP,1,OK,100%,OK
101,5,,20,,,FURROW,CP,1,OK,100%,OK
101,6,,15,,,FURROW,LCG,1,OK,100%,OK
101,7,,9,,,FURROW,CP,1,OK,100%,OK
101,8,,25,,,FURROW,CORN,1,OK,10%,OK
101,9,,9,,,FURROW,CP,1,OK,100%,OK
101,10,,25,,,FURROW,CORN,1,OK,100%,OK
101,11,,25,,,FURROW,LCG,1,OK,50%,OK
101,12,,15,,,ROW,CP,1,OK,100%,OK
101,13,,20,,,ROW,CP,1,OK,100%,OK
101,14,,9,,,FURROW,CP,1,OK,100%,OK
101,15,,7,,,FURROW,CP,1,OK,100%,OK
101,16,,15,,,FURROW,CP,1,OK,100%,OK
101,17,,9,,,FURROW,CP,1,OK,100%,OK
101,18,,7,,,FURROW,LCG,1,OK,100%,OK
101,19,,9,,,FURROW,CP,1,OK,100%,OK
101,20,,5,,,FURROW,CP,1,OK,100%,OK
101,21,,5,,,FURROW,CP,1,OK,100%,OK
101,22,,9,,,FURROW,LCG,1,OK,100%,OK
101,23,,15,,,FURROW,CP,1,OK,100%,OK
101,24,,7,,,FURROW,CP,1,OK,100%,OK
101,25,,25,,,FURROW,CP,1,OK,100%,OK
101,26,,25,,,FURROW,LCG,1,OK,100%,OK
101,27,,15,,,FURROW,CP,1,OK,100%,OK
101,28,,25,,,FURROW,CORN,1,OK,30%,OK
101,29,,15,,,FURROW,CP,1,OK,100%,OK
101,30,,25,,,FURROW,CP,1,OK,100%,OK
101,31,,9,,,ROW,CP,1,OK,100%,OK
101,32,,25,,,FURROW,LCG,1,OK,90%,OK
101,33,,9,,,FURROW,CP,1,OK,0%,OK
101,34,,15,,,FURROW,CORN,1,OK,10%,OK
101,35,,15,,,FURROW,CP,1,OK,100%,OK
101,36,,15,,,ROW,LCG,1,OK,100%,OK
101,37,,25,,,FURROW,CORN,1,OK,100%,OK
101,38,,15,,,FURROW,CP,1,OK,100%,OK
101,39,,25,,,FURROW,CP,1,OK,100%,OK
101,40,,3,,,FURROW,CP,1,OK,100%,OK
101,41,,25,,,FURROW,CP,1,OK,0%,OK
101,42,,9,,,FURROW,CP,1,OK,0%,OK
101,43,,15,,,FURROW,CP,1,OK,95%,OK
101,44,,15,,,FURROW,CP,1,OK,100%,OK
101,45,,9,,,FURROW,CP,1,OK,100%,OK
101,46,,15,,,FURROW,CP,1,OK,100%,OK
101,47,,25,,,FURROW,CP,1,OK,100%,OK
101,48,,9,,,FURROW,CP,1,OK,100%,OK
101,49,,9,,,FURROW,CP,1,OK,100%,OK
101,50,,20,,,FURROW,CP,1,OK,100%,OK
301,1,,15,,,FURROW,LCG,1,OK,100%,OK
301,2,,9,,,FURROW,CP,1,OK,100%,OK
301,3,,25,,,FURROW,LCG,1,OK,100%,OK
301,4,,25,,,FURROW,LCG,1,OK,100%,OK
301,5,,25,,,ROW,COMMON (*),1,OK,100%,OK
301,6,,25,,,FURROW,CP,1,OK,100%,OK
301,7,,25,,,FURROW,CP,1,OK,100%,OK
301,8,,20,,,FURROW,CP,1,OK,100%,OK
301,9,,5,,,ROW,CP,1,OK,100%,OK
301,10,,20,,,FURROW,LCG,1,OK,100%,OK
301,11,,15,,,ROW,LCG,1,OK,100%,OK
301,12,,25,,,FURROW,CP,1,OK,100%,OK
301,13,,25,,,ROW,CP,1,OK,100%,OK
301,14,,7,,,ROW,CP,1,OK,100%,OK
301,15,,20,,,ROW,CP,1,OK,100%,OK
301,16,,15,,,FURROW,LCG,1,OK,100%,OK
301,17,,9,,,FURROW,CP,1,OK,100%,OK
301,18,,5,,,FURROW,CP,1,OK,100%,OK
301,19,,25,,,FURROW,LCG,1,OK,100%,OK
301,20,,25,,,FURROW,CP,1,OK,100%,OK
301,21,,15,,,ROW,CP,1,OK,100%,OK
301,22,,25,,,ROW,LCG,1,OK,100%,OK
301,23,,20,,,FURROW,LCG,1,OK,100%,OK
301,24,,25,,,FURROW,CP,1,OK,100%,OK
301,25,,25,,,ROW,CORN,1,OK,50%,OK
301,26,,25,,,FURROW,LCG,1,OK,100%,OK
301,27,,25,,,FURROW,PICTURE,1,OK,100%,OK
301,28,,25,,,ROW,LCG,1,OK,100%,OK
301,29,,25,,,FURROW,CP,1,OK,100%,OK
301,30,,5,,,FURROW,PICTURE,1,OK,100%,OK
301,31,,20,,,FURROW,COMMON (*),1,OK,100%,OK
301,32,,20,,,ROW,CORN,1,OK,100%,OK
301,33,,25,,,FURROW,LCG,1,OK,95%,OK
301,34,,9,,,FURROW,CP,1,OK,100%,OK
301,35,,25,,,FURROW,CP,1,OK,100%,OK
301,36,,25,,,FURROW,CP,1,OK,0%,OK
301,37,,25,,,FURROW,LCG,1,OK,100%,OK
301,38,,25,,,FURROW,CORN,1,OK,20%,OK
301,39,,25,,,ROW,LCG,1,OK,100%,OK
301,40,,25,,,FURROW,LCG,1,OK,100%,OK
301,41,,25,,,FURROW,LCG,1,OK,95%,OK
301,42,,25,,,FURROW,LCG,1,OK,100%,OK
301,43,,20,,,FURROW,LCG,1,OK,100%,OK
301,44,,15,,,ROW,LCG,1,OK,100%,OK
301,45,,15,,,FURROW,COMMON (*),1,OK,100%,OK
301,46,,15,,,FURROW,LCG,1,OK,100%,OK
301,47,,15,,,FURROW,LCG,1,OK,100%,OK
301,48,,25,,,FURROW,LCG,1,OK,100%,OK
301,49,,25,,,FURROW,LCG,1,OK,100%,OK
301,50,,5,,,FURROW,CP,1,OK,100%,OK
402,1,,25,,,ROW,CP,1,OK,100%,OK
402,2,,>25,,,FURROW,CP,1,OK,100%,OK
402,3,,15,,,FURROW,SOLANUM,1,OK,0%,OK
402,4,,>25,,,FURROW,LCG,1,OK,95%,OK
402,5,,20,,,FURROW,CP,1,OK,100%,OK
402,6,,25,,,FURROW,CP,1,OK,100%,OK
402,7,,25,,,ROW,LCG,1,OK,70%,OK
402,8,,15,,,ROW,CP,1,OK,100%,OK
402,9,,25,,,ROW,LCG,1,OK,0%,OK
402,10,,25,,,ROW,CP,1,OK,100%,OK
402,11,,25,,,FURROW,CP,1,OK,100%,OK
402,12,,25,,,ROW,LCG,1,OK,100%,OK
402,13,,25,,,FURROW,CP,1,OK,100%,OK
402,14,,25,,,FURROW,CP,1,OK,0%,OK
402,15,,25,,,FURROW,LCG,1,OK,100%,OK
402,16,,25,,,ROW,CP,1,OK,100%,OK
402,17,,25,,,FURROW,CP,1,OK,100%,OK
402,18,,25,,,ROW,CP,1,OK,100%,OK
402,19,,9,,,FURROW,CP,1,OK,100%,OK
402,20,,25,,,ROW,LCG,1,OK,100%,OK
402,21,,20,,,ROW,CP,1,OK,100%,OK
402,22,,9,,,FURROW,LCG,1,OK,100%,OK
402,23,,20,,,FURROW,CP,1,OK,100%,OK
402,24,,15,,,ROW,CP,1,OK,100%,OK
402,25,,20,,,FURROW,CP,1,OK,100%,OK
402,26,,25,,,ROW,CP,1,OK,100%,OK
402,27,,7,,,ROW,CP,1,OK,100%,OK
402,28,,9,,,FURROW,CP,1,OK,100%,OK
402,29,,25,,,ROW,CP,1,OK,100%,OK
402,30,,25,,,ROW,CP,1,OK,100%,OK
402,31,,25,,,ROW,LCG,1,OK,100%,OK
402,32,,25,,,FURROW,LCG,1,OK,100%,OK
402,33,,9,,,FURROW,SOLANUM,1,OK,0%,OK
402,34,,7,,,FURROW,LCG,1,OK,100%,OK
402,35,,20,,,FURROW,CP,1,OK,100%,OK
402,36,,25,,,FURROW,LCG,1,OK,95%,OK
402,37,,25,,,ROW,LCG,1,OK,100%,OK
402,38,,15,,,FURROW,CP,1,OK,100%,OK
402,39,,25,,,FURROW,LCG,1,OK,95%,OK
402,40,,25,,,FURROW,LCG,1,OK,NA,NO DATA
402,41,,9,,,FURROW,CP,1,OK,100%,OK
402,42,,25,,,FURROW,CP,1,OK,100%,OK
402,43,,25,,,ROW,CP,1,OK,100%,OK
402,44,,25,,,ROW,LCG,1,OK,100%,OK
402,45,,15,,,ROW,CP,1,OK,100%,OK
402,46,,20,,,FURROW,CP,1,OK,100%,OK
402,47,,25,,,ROW,SOLANUM,1,OK,0%,OK
402,48,,25,,,FURROW,SOLANUM,1,OK,0%,OK
402,49,,25,,,ROW,LCG,1,OK,100%,OK
402,50,,25,,,FURROW,CP,1,OK,100%,OK
