weed_count,date,client,user,weed diameter,size,height,weed placement,weed type,weed name,weed applied
1,2023-01-02,cliente2,yo,,20,,ROW,,CP,1
2,2023-01-02,cliente2,yo,,20,,ROW,,CP,1
3,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
4,2023-01-02,cliente2,yo,,25,,ROW,,CORN,1
5,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
6,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
7,2023-01-02,cliente2,yo,,15,,FURROW,,LCG,1
8,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
9,2023-01-02,cliente2,yo,,25,,FURROW,,CORN,1
10,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
11,2023-01-02,cliente2,yo,,25,,FURROW,,CORN,1
12,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
13,2023-01-02,cliente2,yo,,15,,ROW,,CP,1
14,2023-01-02,cliente2,yo,,20,,ROW,,CP,1
15,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
16,2023-01-02,cliente2,yo,,7,,FURROW,,CP,1
17,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
18,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
19,2023-01-02,cliente2,yo,,7,,FURROW,,LCG,1
20,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
21,2023-01-02,cliente2,yo,,5,,FURROW,,CP,1
22,2023-01-02,cliente2,yo,,5,,FURROW,,CP,1
23,2023-01-02,cliente2,yo,,9,,FURROW,,LCG,1
24,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
25,2023-01-02,cliente2,yo,,7,,FURROW,,CP,1
26,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
27,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
28,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
29,2023-01-02,cliente2,yo,,25,,FURROW,,CORN,1
30,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
31,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
32,2023-01-02,cliente2,yo,,9,,ROW,,CP,1
33,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
34,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
35,2023-01-02,cliente2,yo,,15,,FURROW,,CORN,1
36,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
37,2023-01-02,cliente2,yo,,15,,ROW,,LCG,1
38,2023-01-02,cliente2,yo,,25,,FURROW,,CORN,1
39,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
40,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
41,2023-01-02,cliente2,yo,,3,,FURROW,,CP,1
42,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
43,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
44,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
45,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
46,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
47,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
48,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
49,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
50,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
51,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
52,2023-01-02,cliente2,yo,,15,,FURROW,,LCG,1
53,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
54,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
55,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
56,2023-01-02,cliente2,yo,,25,,ROW,,COMMON (*),1
57,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
58,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
59,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
60,2023-01-02,cliente2,yo,,5,,ROW,,CP,1
61,2023-01-02,cliente2,yo,,20,,FURROW,,LCG,1
62,2023-01-02,cliente2,yo,,15,,ROW,,LCG,1
63,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
64,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
65,2023-01-02,cliente2,yo,,7,,ROW,,CP,1
66,2023-01-02,cliente2,yo,,20,,ROW,,CP,1
67,2023-01-02,cliente2,yo,,15,,FURROW,,LCG,1
68,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
69,2023-01-02,cliente2,yo,,5,,FURROW,,CP,1
70,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
71,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
72,2023-01-02,cliente2,yo,,15,,ROW,,CP,1
73,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
74,2023-01-02,cliente2,yo,,20,,FURROW,,LCG,1
75,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
76,2023-01-02,cliente2,yo,,25,,ROW,,CORN,1
77,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
78,2023-01-02,cliente2,yo,,25,,FURROW,,PICTURE,1
79,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
80,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
81,2023-01-02,cliente2,yo,,5,,FURROW,,PICTURE,1
82,2023-01-02,cliente2,yo,,20,,FURROW,,COMMON (*),1
83,2023-01-02,cliente2,yo,,20,,ROW,,CORN,1
84,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
85,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
86,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
87,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
88,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
89,2023-01-02,cliente2,yo,,25,,FURROW,,CORN,1
90,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
91,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
92,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
93,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
94,2023-01-02,cliente2,yo,,20,,FURROW,,LCG,1
95,2023-01-02,cliente2,yo,,15,,ROW,,LCG,1
96,2023-01-02,cliente2,yo,,15,,FURROW,,COMMON (*),1
97,2023-01-02,cliente2,yo,,15,,FURROW,,LCG,1
98,2023-01-02,cliente2,yo,,15,,FURROW,,LCG,1
99,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
100,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
101,2023-01-02,cliente2,yo,,5,,FURROW,,CP,1
102,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
103,2023-01-02,cliente2,yo,,>25,,FURROW,,CP,1
104,2023-01-02,cliente2,yo,,15,,FURROW,,SOLANUM,1
105,2023-01-02,cliente2,yo,,>25,,FURROW,,LCG,1
106,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
107,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
108,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
109,2023-01-02,cliente2,yo,,15,,ROW,,CP,1
110,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
111,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
112,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
113,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
114,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
115,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
116,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
117,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
118,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
119,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
120,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
121,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
122,2023-01-02,cliente2,yo,,20,,ROW,,CP,1
123,2023-01-02,cliente2,yo,,9,,FURROW,,LCG,1
124,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
125,2023-01-02,cliente2,yo,,15,,ROW,,CP,1
126,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
127,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
128,2023-01-02,cliente2,yo,,7,,ROW,,CP,1
129,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
130,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
131,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
132,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
133,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
134,2023-01-02,cliente2,yo,,9,,FURROW,,SOLANUM,1
135,2023-01-02,cliente2,yo,,7,,FURROW,,LCG,1
136,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
137,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
138,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
139,2023-01-02,cliente2,yo,,15,,FURROW,,CP,1
140,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
141,2023-01-02,cliente2,yo,,25,,FURROW,,LCG,1
142,2023-01-02,cliente2,yo,,9,,FURROW,,CP,1
143,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
144,2023-01-02,cliente2,yo,,25,,ROW,,CP,1
145,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
146,2023-01-02,cliente2,yo,,15,,ROW,,CP,1
147,2023-01-02,cliente2,yo,,20,,FURROW,,CP,1
148,2023-01-02,cliente2,yo,,25,,ROW,,SOLANUM,1
149,2023-01-02,cliente2,yo,,25,,FURROW,,SOLANUM,1
150,2023-01-02,cliente2,yo,,25,,ROW,,LCG,1
151,2023-01-02,cliente2,yo,,25,,FURROW,,CP,1
